m,n,rounding,overflow,acc
,,none,none,98.54
0.0,0.0,ceil,saturate,9.8
0.0,1.0,ceil,saturate,9.8
0.0,2.0,ceil,saturate,9.8
0.0,3.0,ceil,saturate,9.8
0.0,4.0,ceil,saturate,10.89
0.0,5.0,ceil,saturate,83.45
0.0,6.0,ceil,saturate,97.27
0.0,7.0,ceil,saturate,98.42
0.0,8.0,ceil,saturate,98.59
1.0,0.0,ceil,saturate,9.8
1.0,1.0,ceil,saturate,9.8
1.0,2.0,ceil,saturate,9.8
1.0,3.0,ceil,saturate,9.8
1.0,4.0,ceil,saturate,10.99
1.0,5.0,ceil,saturate,83.63
1.0,6.0,ceil,saturate,97.21
1.0,7.0,ceil,saturate,98.33
1.0,8.0,ceil,saturate,98.5
2.0,0.0,ceil,saturate,9.8
2.0,1.0,ceil,saturate,9.8
2.0,2.0,ceil,saturate,9.8
2.0,3.0,ceil,saturate,9.8
2.0,4.0,ceil,saturate,11.03
2.0,5.0,ceil,saturate,83.42
2.0,6.0,ceil,saturate,97.36
2.0,7.0,ceil,saturate,98.42
2.0,8.0,ceil,saturate,98.51
3.0,0.0,ceil,saturate,9.8
3.0,1.0,ceil,saturate,9.8
3.0,2.0,ceil,saturate,9.8
3.0,3.0,ceil,saturate,9.8
3.0,4.0,ceil,saturate,10.87
3.0,5.0,ceil,saturate,83.59
3.0,6.0,ceil,saturate,97.35
3.0,7.0,ceil,saturate,98.44
3.0,8.0,ceil,saturate,98.59
4.0,0.0,ceil,saturate,9.8
4.0,1.0,ceil,saturate,9.8
4.0,2.0,ceil,saturate,9.8
4.0,3.0,ceil,saturate,9.8
4.0,4.0,ceil,saturate,10.8
4.0,5.0,ceil,saturate,83.54
4.0,6.0,ceil,saturate,97.38
4.0,7.0,ceil,saturate,98.36
4.0,8.0,ceil,saturate,98.42
5.0,0.0,ceil,saturate,9.8
5.0,1.0,ceil,saturate,9.8
5.0,2.0,ceil,saturate,9.8
5.0,3.0,ceil,saturate,9.8
5.0,4.0,ceil,saturate,10.85
5.0,5.0,ceil,saturate,83.72
5.0,6.0,ceil,saturate,97.35
5.0,7.0,ceil,saturate,98.4
5.0,8.0,ceil,saturate,98.46
