m,n,rounding,overflow,acc
,,none,none,98.35
0.0,0.0,trunc,saturate,9.8
0.0,1.0,trunc,saturate,10.7
0.0,2.0,trunc,saturate,49.88
0.0,3.0,trunc,saturate,95.87
0.0,4.0,trunc,saturate,98.1
0.0,5.0,trunc,saturate,98.34
0.0,6.0,trunc,saturate,98.28
0.0,7.0,trunc,saturate,98.38
0.0,8.0,trunc,saturate,98.34
1.0,0.0,trunc,saturate,9.8
1.0,1.0,trunc,saturate,10.67
1.0,2.0,trunc,saturate,49.0
1.0,3.0,trunc,saturate,95.78
1.0,4.0,trunc,saturate,97.94
1.0,5.0,trunc,saturate,98.45
1.0,6.0,trunc,saturate,98.37
1.0,7.0,trunc,saturate,98.32
1.0,8.0,trunc,saturate,98.3
2.0,0.0,trunc,saturate,9.8
2.0,1.0,trunc,saturate,10.66
2.0,2.0,trunc,saturate,49.45
2.0,3.0,trunc,saturate,95.73
2.0,4.0,trunc,saturate,98.15
2.0,5.0,trunc,saturate,98.4
2.0,6.0,trunc,saturate,98.39
2.0,7.0,trunc,saturate,98.32
2.0,8.0,trunc,saturate,98.36
3.0,0.0,trunc,saturate,9.8
3.0,1.0,trunc,saturate,10.69
3.0,2.0,trunc,saturate,49.57
3.0,3.0,trunc,saturate,95.67
3.0,4.0,trunc,saturate,98.12
3.0,5.0,trunc,saturate,98.34
3.0,6.0,trunc,saturate,98.37
3.0,7.0,trunc,saturate,98.27
3.0,8.0,trunc,saturate,98.38
4.0,0.0,trunc,saturate,9.8
4.0,1.0,trunc,saturate,10.7
4.0,2.0,trunc,saturate,49.42
4.0,3.0,trunc,saturate,95.8
4.0,4.0,trunc,saturate,98.0
4.0,5.0,trunc,saturate,98.44
4.0,6.0,trunc,saturate,98.32
4.0,7.0,trunc,saturate,98.3
4.0,8.0,trunc,saturate,98.29
5.0,0.0,trunc,saturate,9.8
5.0,1.0,trunc,saturate,10.65
5.0,2.0,trunc,saturate,49.37
5.0,3.0,trunc,saturate,95.6
5.0,4.0,trunc,saturate,98.01
5.0,5.0,trunc,saturate,98.46
5.0,6.0,trunc,saturate,98.28
5.0,7.0,trunc,saturate,98.29
5.0,8.0,trunc,saturate,98.27
