m,n,rounding,overflow,acc
,,none,none,98.46
0.0,0.0,nearest,saturate,9.8
0.0,1.0,nearest,saturate,47.35
0.0,2.0,nearest,saturate,97.73
0.0,3.0,nearest,saturate,98.44
0.0,4.0,nearest,saturate,98.53
0.0,5.0,nearest,saturate,98.54
0.0,6.0,nearest,saturate,98.6
0.0,7.0,nearest,saturate,98.45
0.0,8.0,nearest,saturate,98.52
1.0,0.0,nearest,saturate,11.14
1.0,1.0,nearest,saturate,47.48
1.0,2.0,nearest,saturate,97.78
1.0,3.0,nearest,saturate,98.47
1.0,4.0,nearest,saturate,98.46
1.0,5.0,nearest,saturate,98.42
1.0,6.0,nearest,saturate,98.5
1.0,7.0,nearest,saturate,98.55
1.0,8.0,nearest,saturate,98.54
2.0,0.0,nearest,saturate,11.19
2.0,1.0,nearest,saturate,47.77
2.0,2.0,nearest,saturate,97.79
2.0,3.0,nearest,saturate,98.46
2.0,4.0,nearest,saturate,98.47
2.0,5.0,nearest,saturate,98.52
2.0,6.0,nearest,saturate,98.54
2.0,7.0,nearest,saturate,98.57
2.0,8.0,nearest,saturate,98.64
3.0,0.0,nearest,saturate,11.12
3.0,1.0,nearest,saturate,47.91
3.0,2.0,nearest,saturate,97.78
3.0,3.0,nearest,saturate,98.51
3.0,4.0,nearest,saturate,98.47
3.0,5.0,nearest,saturate,98.58
3.0,6.0,nearest,saturate,98.6
3.0,7.0,nearest,saturate,98.54
3.0,8.0,nearest,saturate,98.57
4.0,0.0,nearest,saturate,11.12
4.0,1.0,nearest,saturate,47.47
4.0,2.0,nearest,saturate,97.82
4.0,3.0,nearest,saturate,98.5
4.0,4.0,nearest,saturate,98.5
4.0,5.0,nearest,saturate,98.53
4.0,6.0,nearest,saturate,98.49
4.0,7.0,nearest,saturate,98.56
4.0,8.0,nearest,saturate,98.51
5.0,0.0,nearest,saturate,11.16
5.0,1.0,nearest,saturate,47.66
5.0,2.0,nearest,saturate,97.7
5.0,3.0,nearest,saturate,98.46
5.0,4.0,nearest,saturate,98.42
5.0,5.0,nearest,saturate,98.49
5.0,6.0,nearest,saturate,98.52
5.0,7.0,nearest,saturate,98.51
5.0,8.0,nearest,saturate,98.5
