m,n,rounding,overflow,acc
,,none,none,98.46
0.0,0.0,trunc,wrap,9.8
0.0,1.0,trunc,wrap,10.79
0.0,2.0,trunc,wrap,34.98
0.0,3.0,trunc,wrap,96.62
0.0,4.0,trunc,wrap,98.38
0.0,5.0,trunc,wrap,98.44
0.0,6.0,trunc,wrap,98.51
0.0,7.0,trunc,wrap,98.36
0.0,8.0,trunc,wrap,98.34
1.0,0.0,trunc,wrap,9.8
1.0,1.0,trunc,wrap,10.84
1.0,2.0,trunc,wrap,35.2
1.0,3.0,trunc,wrap,96.7
1.0,4.0,trunc,wrap,98.46
1.0,5.0,trunc,wrap,98.46
1.0,6.0,trunc,wrap,98.5
1.0,7.0,trunc,wrap,98.53
1.0,8.0,trunc,wrap,98.53
2.0,0.0,trunc,wrap,9.8
2.0,1.0,trunc,wrap,10.83
2.0,2.0,trunc,wrap,35.33
2.0,3.0,trunc,wrap,96.6
2.0,4.0,trunc,wrap,98.46
2.0,5.0,trunc,wrap,98.55
2.0,6.0,trunc,wrap,98.54
2.0,7.0,trunc,wrap,98.58
2.0,8.0,trunc,wrap,98.63
3.0,0.0,trunc,wrap,9.8
3.0,1.0,trunc,wrap,10.84
3.0,2.0,trunc,wrap,34.89
3.0,3.0,trunc,wrap,96.6
3.0,4.0,trunc,wrap,98.41
3.0,5.0,trunc,wrap,98.56
3.0,6.0,trunc,wrap,98.55
3.0,7.0,trunc,wrap,98.47
3.0,8.0,trunc,wrap,98.53
4.0,0.0,trunc,wrap,9.8
4.0,1.0,trunc,wrap,10.81
4.0,2.0,trunc,wrap,34.82
4.0,3.0,trunc,wrap,96.64
4.0,4.0,trunc,wrap,98.43
4.0,5.0,trunc,wrap,98.47
4.0,6.0,trunc,wrap,98.56
4.0,7.0,trunc,wrap,98.61
4.0,8.0,trunc,wrap,98.51
5.0,0.0,trunc,wrap,9.8
5.0,1.0,trunc,wrap,10.82
5.0,2.0,trunc,wrap,35.1
5.0,3.0,trunc,wrap,96.64
5.0,4.0,trunc,wrap,98.44
5.0,5.0,trunc,wrap,98.45
5.0,6.0,trunc,wrap,98.58
5.0,7.0,trunc,wrap,98.47
5.0,8.0,trunc,wrap,98.51
